id;start_date;end_date;language
1;2020-04-08T09:29:00;2020-04-08T07:19:15;ENGLISH
2;2020-04-07T14:19:11;2020-04-08T09:23:36;ENGLISH
3;2020-04-08T05:14:30;2020-04-07T15:48:39;ARMENIAN
4;2020-04-07T20:32:01;2020-04-08T08:03:27;ARMENIAN
5;2020-04-08T06:02:19;2020-04-08T10:49:18;ARMENIAN
6;2020-04-07T23:54:40;2020-04-08T12:02:54;ARMENIAN
7;2020-04-08T01:40:00;2020-04-07T19:30:51;ARMENIAN
8;2020-04-08T00:36:13;2020-04-08T10:52:21;ENGLISH
9;2020-04-07T23:17:22;2020-04-07T19:58:45;ENGLISH
10;2020-04-08T07:29:26;2020-04-07T18:03:56;ENGLISH
